time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-05T19:25:38.700Z,-8.1428,-71.5735,575.27,6.8,mww,,18,1.193,1.14,us,us2000j0ja,2019-01-05T21:02:11.745Z,"89km W of Tarauaca, Brazil",earthquake,7.8,3.5,0.049,40,reviewed,us,us
2019-01-05T18:55:07.190Z,-18.0202,-172.1135,10,5.1,mb,,68,2.324,1.26,us,us2000j0j1,2019-01-05T19:24:59.040Z,"209km ENE of Neiafu, Tonga",earthquake,4.8,1.8,0.091,39,reviewed,us,us
2019-01-05T18:47:10.360Z,51.41,-178.3496,19.1,6.1,mww,,57,0.867,0.97,us,us2000j0iw,2019-01-05T20:49:12.660Z,"54km SSW of Tanaga Volcano, Alaska",earthquake,9.3,4.6,0.059,28,reviewed,us,us
2019-01-05T10:54:58.250Z,-0.8358,127.6335,18.94,5.4,mww,,98,1.619,0.9,us,us2000j0hh,2019-01-05T12:57:26.600Z,"57km N of Laiwui, Indonesia",earthquake,7,4.5,0.073,18,reviewed,us,us
2019-01-05T01:55:38.140Z,-0.857,127.6686,10,5.1,mww,,84,1.645,1.22,us,us2000j0f5,2019-01-05T02:14:40.040Z,"54km N of Laiwui, Indonesia",earthquake,6.6,1.9,0.073,18,reviewed,us,us
2019-01-05T01:04:19.560Z,4.4615,126.1336,122.27,5,mb,,91,2.649,0.9,us,us2000j0f3,2019-01-05T01:22:52.040Z,"127km SE of Sarangani, Philippines",earthquake,7.4,6.6,0.072,62,reviewed,us,us
2019-01-04T06:22:44.590Z,-6.5098,130.3935,117.72,5.6,mww,,29,1.716,0.77,us,us2000j076,2019-01-04T22:31:00.290Z,"189km NNW of Saumlaki, Indonesia",earthquake,5.7,5.7,0.071,19,reviewed,us,us
2019-01-03T21:35:15.350Z,54.8864,164.6918,10,5.4,mb,,69,4.027,0.67,us,us2000j04m,2019-01-05T04:43:06.040Z,"89km WSW of Nikol'skoye, Russia",earthquake,7.7,1.8,0.024,582,reviewed,us,us
2019-01-03T20:46:15.010Z,48.8169,153.7906,80.65,5.3,mb,,48,5.213,1.12,us,us2000j03t,2019-01-03T21:42:37.040Z,"266km SW of Severo-Kuril'sk, Russia",earthquake,9.4,4.1,0.031,339,reviewed,us,us
2019-01-03T17:57:46.300Z,53.4018,159.6844,68.19,5,mb,,114,0.728,0.75,us,us2000j02g,2019-01-03T18:51:14.965Z,"79km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.2,5.3,0.034,274,reviewed,us,us
2019-01-03T12:47:42.810Z,-59.7702,-26.6497,133.43,5.4,mb,,87,7.679,1.08,us,us2000j01b,2019-01-03T13:02:03.040Z,"82km S of Bristol Island, South Sandwich Islands",earthquake,12,7.3,0.066,79,reviewed,us,us
2019-01-03T00:48:08.550Z,28.261,104.9842,10,5.2,mb,,35,6.974,0.59,us,us2000izyd,2019-01-03T10:29:49.455Z,"24km WSW of Zhongcheng, China",earthquake,3.5,1.9,0.05,134,reviewed,us,us
2019-01-03T00:03:08.010Z,-55.765,-26.9926,10,5.1,mb,,81,5.66,0.86,us,us2000izy7,2019-01-03T00:22:05.040Z,"104km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.9,1.9,0.093,38,reviewed,us,us
2019-01-02T13:40:23.730Z,-6.5049,103.6054,34.42,5,mb,,83,2.226,0.77,us,us2000izty,2019-01-02T13:56:29.040Z,"138km SSW of Biha, Indonesia",earthquake,7.4,5.5,0.077,54,reviewed,us,us
2019-01-02T07:59:51.340Z,-2.1004,138.9693,46.76,5,mb,,108,6.763,0.77,us,us2000izsn,2019-01-04T00:45:22.154Z,"188km WNW of Abepura, Indonesia",earthquake,8.9,5.8,0.093,37,reviewed,us,us
2019-01-02T03:12:54.880Z,42.5127,104.3937,10,5,mb,,59,5.506,0.71,us,us2000izrq,2019-01-02T20:07:26.197Z,"71km WSW of Sangiyn Dalay, Mongolia",earthquake,9.7,1.9,0.05,128,reviewed,us,us
2019-01-01T20:24:36.150Z,-2.472,99.6263,10,5.1,mb,,123,3.816,1.17,us,us2000izpf,2019-01-02T19:18:48.040Z,"107km SSE of Muara Siberut, Indonesia",earthquake,7.5,1.8,0.064,78,reviewed,us,us
2019-01-01T16:25:37.050Z,-9.5315,122.7267,70.13,5,mb,,57,1.012,1.07,us,us2000iznk,2019-01-01T23:20:24.692Z,"94km SSE of Habibola, Indonesia",earthquake,7.5,5.4,0.067,72,reviewed,us,us
